"name";"a_lrr";"a";"w";"dist-type";"sd";"Bit";"LUT";"X9"
"sax";NA;256;10;"norm";1;80;65536;NA
"sax";NA;101;12;"norm";1;80;10201;NA
"sax";NA;40;15;"norm";1;80;1600;NA
"sax";NA;16;20;"norm";1;80;256;NA
"sax";NA;6;30;"norm";1;80;36;NA
"lrrsaxres";16;194;10;"norm";0.652643842926257;80;256;37636
"lrrsaxres";16;80;12;"norm";0.652643842926257;80;256;6400
"lrrsaxres";16;33;15;"norm";0.652643842926257;80;256;1089
"lrrsaxres";16;13;20;"norm";0.652643842926257;80;256;169
"lrrsaxres";16;5;30;"norm";0.652643842926257;80;256;25
"lrrsaxres";64;168;10;"norm";0.652643842926257;80;4096;28224
"lrrsaxres";64;71;12;"norm";0.652643842926257;80;4096;5041
"lrrsaxres";64;30;15;"norm";0.652643842926257;80;4096;900
"lrrsaxres";64;12;20;"norm";0.652643842926257;80;4096;144
"lrrsaxres";64;5;30;"norm";0.652643842926257;80;4096;25
"lrrsaxres";256;147;10;"norm";0.652643842926257;80;65536;21609
"lrrsaxres";256;64;12;"norm";0.652643842926257;80;65536;4096
"lrrsaxres";256;27;15;"norm";0.652643842926257;80;65536;729
"lrrsaxres";256;12;20;"norm";0.652643842926257;80;65536;144
"lrrsaxres";256;5;30;"norm";0.652643842926257;80;65536;25
"lrrsaxres";1024;128;10;"norm";0.652643842926257;80;1048576;16384
"lrrsaxres";1024;57;12;"norm";0.652643842926257;80;1048576;3249
"lrrsaxres";1024;25;15;"norm";0.652643842926257;80;1048576;625
"lrrsaxres";1024;11;20;"norm";0.652643842926257;80;1048576;121
"lrrsaxres";1024;5;30;"norm";0.652643842926257;80;1048576;25
"1d_sax";4;64;10;"norm";1;80;4112;NA
"1d_sax";4;25;12;"norm";1;80;641;NA
"1d_sax";4;10;15;"norm";1;80;116;NA
"1d_sax";4;4;20;"norm";1;80;32;NA
"1d_sax";8;32;10;"norm";1;80;1088;NA
"1d_sax";8;12;12;"norm";1;80;208;NA
"1d_sax";8;5;15;"norm";1;80;89;NA
"1d_sax";16;16;10;"norm";1;80;512;NA
"1d_sax";16;6;12;"norm";1;80;292;NA
"1d_sax";32;8;10;"norm";1;80;1088;NA
